Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-01-02 12:26:00-05:00,84.47091344202914,0.6360137474722866,89.33989054096209,9.307849016702338,40876.71046666392,0%
2025-01-02 12:27:00-05:00,84.71966640573437,0.6356785002276316,89.34083569018296,9.309782922524626,40876.50344507053,0%
2025-01-02 12:28:00-05:00,84.96841931055813,0.6353312544645263,89.3417932902584,9.31171696834465,40876.296412970354,0%
2025-01-02 12:29:00-05:00,85.21717215529311,0.6349720166443538,89.34276332336097,9.313651155187399,40876.08937025029,0%
2025-01-02 12:30:00-05:00,85.46592493904762,0.6346007934538803,89.34374577143069,9.315585483752347,40875.88231683212,0%
2025-01-02 12:31:00-05:00,85.7146776609439,0.6342175918061819,89.34474061617334,9.317519954720158,40875.675252639594,0%
2025-01-02 12:32:00-05:00,85.96343031977676,0.6338224188414562,89.34574783905798,9.319454569092839,40875.46817756198,0%
2025-01-02 12:33:00-05:00,86.21218291478394,0.633415281924595,89.34676742132338,9.321389327421983,40875.26109153676,0%
2025-01-02 12:34:00-05:00,86.46093544477303,0.6329961886477293,89.3477993439715,9.323324230688382,40875.053994455404,0%
2025-01-02 12:35:00-05:00,86.70968790898338,0.6325651468273227,89.34884358777462,9.325259279426033,40874.84688625721,0%
2025-01-02 12:36:00-05:00,86.9584403062283,0.6321221645068402,89.34990013326905,9.327194474597885,40874.6397668355,0%
2025-01-02 12:37:00-05:00,87.20719263576015,0.6316672499537872,89.35096896076203,9.329129816715325,40874.43263613188,0%
2025-01-02 12:38:00-05:00,87.45594489639996,0.6312004116623657,89.35205005032563,9.331065306721376,40874.22549404174,0%
2025-01-02 12:39:00-05:00,87.70469708740944,0.6307216583504588,89.3531433818036,9.333000945104908,40874.018340509065,0%
2025-01-02 12:40:00-05:00,87.95344920761661,0.6302309989623786,89.35424893480523,9.334936732786057,40873.811175431525,0%
2025-01-02 12:41:00-05:00,88.20220125628994,0.6297284426657337,89.35536668871228,9.336872670241247,40873.60399875441,0%
2025-01-02 12:42:00-05:00,88.45095323226984,0.6292139988542939,89.35649662267275,9.338808758363776,40873.39681037824,0%
2025-01-02 12:43:00-05:00,88.69970513472825,0.6286876771450937,89.35763871560712,9.340744997715895,40873.18961023895,0%
2025-01-02 12:44:00-05:00,88.94845696283062,0.6281494873794566,89.35879294620625,9.342681388852771,40872.98239827326,0%
2025-01-02 12:45:00-05:00,89.1972087154374,0.6275994396239312,89.3599592929292,9.344617932632467,40872.775174385344,0%
2025-01-02 12:46:00-05:00,89.44596039183752,0.6270375441673987,89.36113773400963,9.346554629481219,40872.56793852559,0%
2025-01-02 12:47:00-05:00,89.69471199089682,0.6264638115240645,89.36232824744926,9.348491480239913,40872.360690600006,0%
2025-01-02 12:48:00-05:00,89.94346351190947,0.6258782524299489,89.3635308110253,9.350428485311612,40872.153430561375,0%
2025-01-02 12:49:00-05:00,90.1922149537593,0.6252808778460734,89.36474540228386,9.35236564551134,40871.94615831836,0%
2025-01-02 12:50:00-05:00,90.44096631574212,0.6246716989548712,89.3659719985474,9.354302961230038,40871.738873824965,0%
2025-01-02 12:51:00-05:00,90.68971759675772,0.6240507271633419,89.36721057690802,9.356240433253966,40871.5315769929,0%
2025-01-02 12:52:00-05:00,90.93846879611473,0.6234179740994381,89.3684611142351,9.358178061952263,40871.32426777842,0%
