Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km)
2024-07-16 17:35:39.040000-04:00,144.03570544855378,-4.930867286679341,227.0549641623676,34.10893402559918,38251.77666932415
2024-07-16 17:35:39.200000-04:00,144.03637359266722,-4.930888468288857,227.05494912254133,34.1089157242199,38251.77820647061
2024-07-16 17:35:39.360000-04:00,144.0370417349328,-4.930909649973138,227.0549340845032,34.10889742173892,38251.77974371042
2024-07-16 17:35:39.520000-04:00,144.03770987718684,-4.930930831796335,227.05491904639683,34.10887911914808,38251.78128095989
2024-07-16 17:35:39.680000-04:00,144.03837801759173,-4.930952013694293,227.05490401007845,34.108860815455685,38251.78281830268
2024-07-16 17:35:39.840000-04:00,144.0390461616658,-4.9309731958595515,227.05488896996698,34.10884251364366,38251.78435548713
2024-07-16 17:35:40-04:00,144.03971430389024,-4.930994378099548,227.0548739316466,34.10882421072836,38251.78589276507
2024-07-16 17:35:40.160000-04:00,144.04038244610513,-4.931015560478467,227.05485889325354,34.10880590770569,38251.78743005243
2024-07-16 17:35:40.320000-04:00,144.04105059014802,-4.931036743060482,227.05484385292968,34.108787605568345,38251.78896726543
2024-07-16 17:35:40.480000-04:00,144.04171873234304,-4.931057925717247,227.05482881439528,34.10876930232864,38251.790504571814
2024-07-16 17:35:40.640000-04:00,144.04238687452954,-4.931079108512933,227.05481377578704,34.108750998982195,38251.79204188762
2024-07-16 17:35:40.800000-04:00,144.0430550185459,-4.931100291511716,227.05479873524638,34.108732696522026,38251.79357912894
2024-07-16 17:35:40.960000-04:00,144.04372316071127,-4.931121474585216,227.05478369649833,34.10871439295774,38251.79511646384
2024-07-16 17:35:41.120000-04:00,144.04439130286679,-4.93114265779763,227.05476865767764,34.10869608928607,38251.79665380817
2024-07-16 17:35:41.280000-04:00,144.04505944685351,-4.931163841213123,227.05475361692325,34.10867778650142,38251.79819107798
2024-07-16 17:35:41.440000-04:00,144.04572758898922,-4.931185024703332,227.05473857796144,34.108659482612644,38251.79972844137
2024-07-16 17:35:41.600000-04:00,144.0463957311168,-4.931206208332463,227.05472353892546,34.108641178617354,38251.801265814094
2024-07-16 17:35:41.760000-04:00,144.04706387507122,-4.931227392164655,227.05470849795984,34.10862287550677,38251.80280311251
2024-07-16 17:35:41.920000-04:00,144.04773201717734,-4.931248576071558,227.0546934587842,34.10860457129356,38251.804340504365
2024-07-16 17:35:42.080000-04:00,144.04840016111336,-4.931269760181524,227.0546784176749,34.108586267967375,38251.80587782169
2024-07-16 17:35:42.240000-04:00,144.04906830320147,-4.931290944366221,227.0546633783538,34.108567963539585,38251.807415232404
2024-07-16 17:35:42.400000-04:00,144.04973644343843,-4.931312128625572,227.05464834082676,34.108549658006844,38251.80895273671
2024-07-16 17:35:42.560000-04:00,144.050404585504,-4.931333313088026,227.05463330136462,34.10853135336194,38251.81049016647
2024-07-16 17:35:42.720000-04:00,144.05107272940205,-4.931354497753531,227.0546182599689,34.108513049604035,38251.81202752172
2024-07-16 17:35:42.880000-04:00,144.05174087145056,-4.931375682493733,227.05460322036546,34.10849474474214,38251.8135649705
2024-07-16 17:35:43.040000-04:00,144.05240901348782,-4.931396867372794,227.0545881806884,34.10847643977356,38251.81510242866
2024-07-16 17:35:43.200000-04:00,144.05307715735503,-4.931418052454931,227.05457313908008,34.10845813569056,38251.81663981244
2024-07-16 17:35:43.360000-04:00,144.05374529937362,-4.9314392376117215,227.05455809926323,34.10843983050419,38251.818177289715
2024-07-16 17:35:43.520000-04:00,144.0544134413801,-4.931460422907395,227.05454305937496,34.10842152520977,38251.819714776466
2024-07-16 17:35:43.680000-04:00,144.0550815852177,-4.931481608406131,227.05452801755172,34.10840322080313,38251.821252188645
2024-07-16 17:35:43.840000-04:00,144.05574972720692,-4.931502793979499,227.05451297752103,34.10838491529247,38251.82278969437
2024-07-16 17:35:44-04:00,144.0564178691865,-4.931523979691759,227.05449793741633,34.108366609675244,38251.82432720947
2024-07-16 17:35:44.160000-04:00,144.0570860129931,-4.931545165607035,227.0544828953808,34.108348304943476,38251.825864650185
2024-07-16 17:35:44.320000-04:00,144.05775415495137,-4.9315663515969685,227.0544678551378,34.10832999910768,38251.82740218445
2024-07-16 17:35:44.480000-04:00,144.05842229690148,-4.93158753772577,227.05445281481929,34.108311693166264,38251.828939728
2024-07-16 17:35:44.640000-04:00,144.0590904406798,-4.9316087240575985,227.05443777257005,34.10829338811019,38251.830477197174
2024-07-16 17:35:44.800000-04:00,144.0597585826086,-4.931629910464069,227.05442273211193,34.10827508195091,38251.832014759835
2024-07-16 17:35:44.960000-04:00,144.06042672452904,-4.931651097009377,227.05440769157988,34.108256775685106,38251.833552331875
2024-07-16 17:35:45.120000-04:00,144.06109486643837,-4.9316722836935165,227.05439265097777,34.10823846931054,38251.835089913446
2024-07-16 17:35:45.280000-04:00,144.06176300833621,-4.931693470516489,227.0543776103074,34.10822016282618,38251.836627504636
2024-07-16 17:35:45.440000-04:00,144.06243115022707,-4.931714657478311,227.0543625695617,34.10820185623609,38251.83816510513
2024-07-16 17:35:45.600000-04:00,144.06309929394615,-4.9317358446431285,227.0543475268852,34.10818355053146,38251.83970263123
2024-07-16 17:35:45.760000-04:00,144.0637674358159,-4.931757031882582,227.0543324859998,34.10816524372364,38251.84124025083
2024-07-16 17:35:45.920000-04:00,144.0644355776773,-4.931778219260858,227.05431744504028,34.108146936809405,38251.84277787978
2024-07-16 17:35:46.080000-04:00,144.06510372136847,-4.931799406842166,227.05430240214858,34.10812863078139,38251.84431543427
2024-07-16 17:35:46.240000-04:00,144.06577186320573,-4.9318205944980456,227.05428736105242,34.10811032364775,38251.84585308247
2024-07-16 17:35:46.400000-04:00,144.06644000503752,-4.931841782292771,227.05427231987937,34.10809201640926,38251.84739073986
2024-07-16 17:35:46.560000-04:00,144.0671081486977,-4.931862970290496,227.05425727677542,34.10807371005627,38251.84892832287
2024-07-16 17:35:46.720000-04:00,144.06777629050828,-4.931884158362821,227.0542422354627,34.10805540260007,38251.85046599938
2024-07-16 17:35:46.880000-04:00,144.0684444323104,-4.931905346573966,227.05422719407625,34.10803709503727,38251.85200368527
