Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Radiant Flux (W),Counts,Airmass
2024-08-22 15:40:37.500000-04:00,36.09397522548447,9.315923833484453,326.6141238187063,-35.60724178870862,8124.516350898891,0.0,0.0,-1.7176199955189242
2024-08-22 15:40:38-04:00,36.117169836388506,9.319952908154507,326.5931854089368,-35.594586340907135,8122.400738525659,0.0,0.0,-1.7181477851549731
2024-08-22 15:40:38.500000-04:00,36.1403719779291,9.323972128175873,326.57224132385454,-35.58193201993677,8120.285058899683,0.0,0.0,-1.7186759349895486
2024-08-22 15:40:39-04:00,36.16358165158774,9.327981484416302,326.55129155539936,-35.569278827675184,8118.169312597542,0.0,0.0,-1.719204445260429
2024-08-22 15:40:39.500000-04:00,36.186798858839225,9.331980967736232,326.5303360955067,-35.55662676600105,8116.053500196112,0.0,0.0,-1.7197333162054935
2024-08-22 15:40:40-04:00,36.210023601156536,9.33597056898884,326.5093749361085,-35.54397583679456,8113.937622272649,0.0,0.0,-1.7202625480626976
2024-08-22 15:40:40.500000-04:00,36.233255880003064,9.339950279020378,326.48840806913046,-35.53132604193568,8111.821679404531,0.0,0.0,-1.7207921410701528
2024-08-22 15:40:41-04:00,36.25649569683797,9.34392008866893,326.4674354865024,-35.51867738330983,8109.705672170156,0.0,0.0,-1.7213220954658777
2024-08-22 15:40:41.500000-04:00,36.27974305312023,9.34787998876596,326.4464571801445,-35.50602986280064,8107.589601147776,0.0,0.0,-1.721852411488112
2024-08-22 15:40:42-04:00,36.302997950295264,9.351829970134926,326.42547314198015,-35.493383482296615,8105.473466916588,0.0,0.0,-1.7223830893750312
2024-08-22 15:40:42.500000-04:00,36.32626038980803,9.35577002359241,326.404483363925,-35.480738243685515,8103.357270055791,0.0,0.0,-1.7229141293649806
2024-08-22 15:40:43-04:00,36.349530373100876,9.359700139947519,326.383487837893,-35.46809414885744,8101.241011145128,0.0,0.0,-1.7234455316963522
2024-08-22 15:40:43.500000-04:00,36.3728079016035,9.363620310001842,326.3624865557974,-35.455451199705294,8099.124690764919,0.0,0.0,-1.7239772966075568
2024-08-22 15:40:44-04:00,36.39609297674884,9.367530524549805,326.3414795095454,-35.442809398122236,8097.0083094956835,0.0,0.0,-1.724509424337135
2024-08-22 15:40:44.500000-04:00,36.419385599958076,9.371430774378286,326.3204666910437,-35.430168746004306,8094.89186791855,0.0,0.0,-1.7250419151236493
2024-08-22 15:40:45-04:00,36.44268577264676,9.375321050266724,326.29944809219654,-35.417529245249575,8092.775366615112,0.0,0.0,-1.725574769205713
2024-08-22 15:40:45.500000-04:00,36.465993496231484,9.37920134298761,326.2784237049017,-35.40489089775597,8090.658806167079,0.0,0.0,-1.7261079868220865
2024-08-22 15:40:46-04:00,36.489308772118804,9.383071643305453,326.2573935210593,-35.39225370542599,8088.542187157066,0.0,0.0,-1.726641568211476
2024-08-22 15:40:46.500000-04:00,36.51263160170828,9.386931941977924,326.23635753256167,-35.37961767016129,8086.425510167662,0.0,0.0,-1.727175513612763
2024-08-22 15:40:47-04:00,36.53596198639968,9.39078222975522,326.2153157312993,-35.366982793865894,8084.308775781997,0.0,0.0,-1.7277098232648664
2024-08-22 15:40:47.500000-04:00,36.559299927582856,9.394622497379915,326.19426810916246,-35.35434907844688,8082.191984583851,0.0,0.0,-1.728244497406716
2024-08-22 15:40:48-04:00,36.582645426643765,9.39845273558724,326.1732146580369,-35.34171652581252,8080.075137157317,0.0,0.0,-1.728779536277329
2024-08-22 15:40:48.500000-04:00,36.60599848496596,9.402272935105355,326.1521553698048,-35.32908513787216,8077.95823408682,0.0,0.0,-1.729314940115812
2024-08-22 15:40:49-04:00,36.629359103920535,9.406083086654805,326.13109023634513,-35.31645491653722,8075.841275957255,0.0,0.0,-1.7298507091613269
2024-08-22 15:40:49.500000-04:00,36.65272728487967,9.409883180948842,326.110019249535,-35.30382586372097,8073.72426335396,0.0,0.0,-1.7303868436530905
2024-08-22 15:40:50-04:00,36.676103029207724,9.413673208693139,326.08894240124965,-35.29119798133945,8071.607196862868,0.0,0.0,-1.7309233438303402
2024-08-22 15:40:50.500000-04:00,36.69948633826322,9.41745316058621,326.06785968335953,-35.27857127130928,8069.490077070139,0.0,0.0,-1.731460209932426
2024-08-22 15:40:51-04:00,36.72287721339972,9.42122302731927,326.0467710877313,-35.26594573554847,8067.3729045623,0.0,0.0,-1.7319974421987743
2024-08-22 15:40:51.500000-04:00,36.74627565596718,9.424982799575929,326.0256766062312,-35.25332137597814,8065.255679926535,0.0,0.0,-1.7325350408688187
2024-08-22 15:40:52-04:00,36.76968166730596,9.4287324680325,326.0045762307209,-35.24069819452044,8063.138403750317,0.0,0.0,-1.7330730061820805
2024-08-22 15:40:52.500000-04:00,36.7930952487533,9.43247202335763,325.9834699530628,-35.22807619310111,8061.021076621876,0.0,0.0,-1.733611338378068
2024-08-22 15:40:53-04:00,36.81651640164416,9.436201456213324,325.96235776510844,-35.215455373643664,8058.903699129163,0.0,0.0,-1.734150037696518
2024-08-22 15:40:53.500000-04:00,36.83994512730152,9.439920757253468,325.94123965871347,-35.202835738077106,8056.786271861211,0.0,0.0,-1.734689104377068
2024-08-22 15:40:54-04:00,36.863381427046924,9.443629917124827,325.920115625729,-35.19021728833138,8054.668795407344,0.0,0.0,-1.7352285386594521
2024-08-22 15:40:54.500000-04:00,36.886825302198865,9.447328926466806,325.898985658002,-35.177600026337586,8052.551270357181,0.0,0.0,-1.7357683407834885
2024-08-22 15:40:55-04:00,36.910276754063815,9.45101777591162,325.8778497473751,-35.16498395402806,8050.433697300689,0.0,0.0,-1.7363085109890757
2024-08-22 15:40:55.500000-04:00,36.93373578394629,9.454696456083589,325.8567078856924,-35.152369073339145,8048.316076828666,0.0,0.0,-1.7368490495160789
2024-08-22 15:40:56-04:00,36.95720239314498,9.458364957599846,325.8355600647928,-35.13975538620798,8046.198409532125,0.0,0.0,-1.737389956604458
2024-08-22 15:40:56.500000-04:00,36.98067658295765,9.46202327107054,325.81440627650977,-35.12714289457209,8044.080696002305,0.0,0.0,-1.7379312324942942
2024-08-22 15:40:57-04:00,37.00415835466519,9.465671387097832,325.793246512678,-35.11453160037315,8041.9629368312635,0.0,0.0,-1.7384728774256224
2024-08-22 15:40:57.500000-04:00,37.027647709554,9.469309296277002,325.7720807651254,-35.10192150555253,8039.845132611136,0.0,0.0,-1.7390148916386228
2024-08-22 15:40:58-04:00,37.05114464890046,9.472936989195501,325.75090902568036,-35.08931261205548,8037.72728393482,0.0,0.0,-1.7395572753734414
2024-08-22 15:40:58.500000-04:00,37.07464917397397,9.476554456433579,325.7297312861671,-35.07670492182824,8035.609391395549,0.0,0.0,-1.7401000288703192
2024-08-22 15:40:59-04:00,37.098161286041055,9.48016168856436,325.7085475384038,-35.064098436817375,8033.491455586705,0.0,0.0,-1.7406431523696066
2024-08-22 15:40:59.500000-04:00,37.121680986361994,9.483758676153062,325.68735777421074,-35.051493158974026,8031.373477102564,0.0,0.0,-1.741186646111597
2024-08-22 15:41:00-04:00,37.14520827618943,9.487345409757886,325.66616198540146,-35.0388890902492,8029.255456537528,0.0,0.0,-1.7417305103367164
2024-08-22 15:41:00.500000-04:00,37.16874315677374,9.490921879929417,325.64496016378894,-35.02628623259695,8027.137394486635,0.0,0.0,-1.742274745285393
2024-08-22 15:41:01-04:00,37.19228562935604,9.494488077210928,325.6237523011823,-35.01368458797282,8025.019291545296,0.0,0.0,-1.7428193511981194
2024-08-22 15:41:01.500000-04:00,37.21583569517435,9.498043992138468,325.60253838938553,-35.0010841583331,8022.901148309148,0.0,0.0,-1.7433643283154898
2024-08-22 15:41:02-04:00,37.23939335545867,9.501589615240267,325.5813184202047,-34.98848494563855,8020.782965374767,0.0,0.0,-1.7439096768780329
2024-08-22 15:41:02.500000-04:00,37.26295861143805,9.50512493703776,325.56009238543646,-34.97588695184839,8018.664743338536,0.0,0.0,-1.7444553971264742
2024-08-22 15:41:03-04:00,37.28653146433238,9.508649948044251,325.5388602768809,-34.96329017892728,8016.546482797917,0.0,0.0,-1.7450014893014352
2024-08-22 15:41:03.500000-04:00,37.310111915352735,9.512164638766274,325.5176220863302,-34.950694628839074,8014.428184350352,0.0,0.0,-1.745547953643702
2024-08-22 15:41:04-04:00,37.33369996571151,9.51566899970289,325.4963778055743,-34.93810030354975,8012.309848593773,0.0,0.0,-1.7460947903940944
2024-08-22 15:41:04.500000-04:00,37.3572956166104,9.519163021345353,325.4751274264029,-34.9255072050289,8010.191476126815,0.0,0.0,-1.7466419997934088
2024-08-22 15:41:05-04:00,37.380898869247694,9.522646694177595,325.45387094060237,-34.912915335247796,8008.073067548563,0.0,0.0,-1.747189582082494
2024-08-22 15:41:05.500000-04:00,37.40450972481294,9.52612000867664,325.4326083399519,-34.90032469617722,8005.954623458123,0.0,0.0,-1.747737537502348
2024-08-22 15:41:06-04:00,37.428128184494,9.529582955311767,325.41133961623103,-34.88773528979174,8003.836144455364,0.0,0.0,-1.748285866293935
2024-08-22 15:41:06.500000-04:00,37.45175424947078,9.533035524544685,325.3900647612171,-34.87514711806828,8001.71763114068,0.0,0.0,-1.748834568698241
2024-08-22 15:41:07-04:00,37.47538792091839,9.536477706830116,325.36878376668153,-34.86256018298402,7999.599084114644,0.0,0.0,-1.7493836449563718
2024-08-22 15:41:07.500000-04:00,37.49902920000263,9.539909492614992,325.3474966243953,-34.84997448651962,7997.480503978514,0.0,0.0,-1.7499330953094046
2024-08-22 15:41:08-04:00,37.52267808789042,9.543330872339146,325.3262033261241,-34.83739003065625,7995.361891333781,0.0,0.0,-1.7504829199985232
2024-08-22 15:41:08.500000-04:00,37.54633458573367,9.546741836434583,325.3049038636343,-34.82480681737911,7993.243246782731,0.0,0.0,-1.7510331192648614
2024-08-22 15:41:09-04:00,37.56999869468785,9.550142375326475,325.28359822868504,-34.81222484867291,7991.12457092768,0.0,0.0,-1.7515836933497004
2024-08-22 15:41:09.500000-04:00,37.59367041589809,9.553532479432286,325.26228641303334,-34.79964412652496,7989.005864371529,0.0,0.0,-1.752134642494333
2024-08-22 15:41:10-04:00,37.617349750500516,9.556912139161993,325.24096840843595,-34.78706465292582,7986.887127717842,0.0,0.0,-1.752685966940035
2024-08-22 15:41:10.500000-04:00,37.64103669963256,9.560281344918486,325.21964420664244,-34.774486429865846,7984.768361570252,0.0,0.0,-1.7532376669282157
2024-08-22 15:41:11-04:00,37.664731264420986,9.563640087096637,325.198313799405,-34.76190945934038,7982.649566533385,0.0,0.0,-1.7537897427001936
2024-08-22 15:41:11.500000-04:00,37.68843344598631,9.566988356084785,325.17697717846585,-34.7493337433428,7980.530743211647,0.0,0.0,-1.754342194497493
2024-08-22 15:41:12-04:00,37.712143245445176,9.570326142263127,325.1556343355699,-34.73675928387168,7978.411892210439,0.0,0.0,-1.7548950225615378
2024-08-22 15:41:12.500000-04:00,37.735860663908944,9.573653436004868,325.1342852624554,-34.72418608292566,7976.293014135293,0.0,0.0,-1.7554482271338718
2024-08-22 15:41:13-04:00,37.75958570248233,9.57697022767546,325.11292995086126,-34.71161414250705,7974.174109592494,0.0,0.0,-1.756001808455997
2024-08-22 15:41:13.500000-04:00,37.783318362262094,9.580276507633533,325.0915683925178,-34.69904346461735,7972.0551791883045,0.0,0.0,-1.756555766769581
2024-08-22 15:41:14-04:00,37.80705864434036,9.583572266229679,325.0702005791581,-34.686474051263055,7969.936223529962,0.0,0.0,-1.7571101023161881
2024-08-22 15:41:14.500000-04:00,37.830806549805494,9.58685749380732,325.04882650250926,-34.67390590445117,7967.817243224881,0.0,0.0,-1.757664815337485
2024-08-22 15:41:15-04:00,37.85456207973649,9.590132180702525,325.0274461542964,-34.66133902619095,7965.698238881023,0.0,0.0,-1.7582199060751589
