Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 19:25:00-07:00,18.261419710500554,10.953715283331551,267.96228588058193,23.70923021770615,255200.05050112965,0%
2025-03-09 19:26:00-07:00,18.26332481546145,10.95469112488213,268.1021785402946,23.50145573569515,255278.75872798293,0%
2025-03-09 19:27:00-07:00,18.265250534222876,10.955664739270858,268.24180556455343,23.29368040016461,255357.48142617536,0%
2025-03-09 19:28:00-07:00,18.267196883673158,10.956636145961008,268.38117187718075,23.085905514331184,255436.21820313914,0%
2025-03-09 19:29:00-07:00,18.26916388025237,10.957605364423117,268.5202823614967,22.878132373244814,255514.96866574086,0%
2025-03-09 19:30:00-07:00,18.271151539976685,10.9585724141348,268.6591418609907,22.670362263997383,255593.73242028707,0%
2025-03-09 19:31:00-07:00,18.273159878424302,10.959537314580315,268.79775518000764,22.46259646589308,255672.50907253567,0%
2025-03-09 19:32:00-07:00,18.275188910742408,10.960500085250038,268.93612708441293,22.25483625063277,255751.29822769965,0%
2025-03-09 19:33:00-07:00,18.27723865163895,10.961460745640206,269.0742623022544,22.04708288248789,255830.09949045957,0%
2025-03-09 19:34:00-07:00,18.279309115402647,10.96241931525253,269.21216552440217,21.83933761849085,255908.9124649678,0%
2025-03-09 19:35:00-07:00,18.28140031587678,10.963375813593684,269.3498414052063,21.631601708582988,255987.7367548581,0%
2025-03-09 19:36:00-07:00,18.283512266478564,10.964330260175002,269.4872945631157,21.42387639580572,256066.57196325483,0%
2025-03-09 19:37:00-07:00,18.285644980194824,10.965282674512087,269.6245295813055,21.216162916463293,256145.4176927776,0%
2025-03-09 19:38:00-07:00,18.287798469582828,10.966233076124398,269.7615510082911,21.008462500290815,256224.2735455522,0%
2025-03-09 19:39:00-07:00,18.28997274676141,10.967181484534859,269.8983633585407,20.80077637061038,256303.13912321886,0%
2025-03-09 19:40:00-07:00,18.29216782342897,10.968127919269559,270.03497111306467,20.593105744506452,256382.01402693792,0%
2025-03-09 19:41:00-07:00,18.294383710849306,10.969072399857144,270.1713787200091,20.385451832982596,256460.8978573978,0%
2025-03-09 19:42:00-07:00,18.296620419851237,10.970014945828751,270.3075905952467,20.177815841106714,256539.7902148279,0%
2025-03-09 19:43:00-07:00,18.29887796085106,10.970955576717328,270.4436111229334,19.970198968194758,256618.69069899846,0%
2025-03-09 19:44:00-07:00,18.301156343820086,10.9718943120574,270.5794446560958,19.76260240793515,256697.59890923518,0%
2025-03-09 19:45:00-07:00,18.30345557830799,10.972831171384719,270.7150955171771,19.55502734856202,256776.51444442628,0%
2025-03-09 19:46:00-07:00,18.305775673438283,10.97376617423581,270.85056799859245,19.347474973001297,256855.43690302654,0%
2025-03-09 19:47:00-07:00,18.30811663790832,10.97469934014757,270.98586636327514,19.139946459018024,256934.3658830695,0%
2025-03-09 19:48:00-07:00,18.310478479980482,10.97563068865694,271.1209948452141,18.932442979364726,257013.30098217397,0%
