Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-10 01:06:00-07:00,202.02110328356144,-5.106736397250111,138.31809405568524,42.572677954291095,37591.565114730816,0%
2025-03-10 01:07:00-07:00,202.27159305614532,-5.106867848033614,138.31818522055354,42.57283278444713,37591.52232628871,0%
2025-03-10 01:08:00-07:00,202.52208335336348,-5.107002760307186,138.3182766241671,42.57298657362935,37591.47940168409,0%
2025-03-10 01:09:00-07:00,202.77257417888745,-5.107141131593004,138.3183682648093,42.57313931881356,37591.4363417434,0%
2025-03-10 01:10:00-07:00,203.02306553639386,-5.107282959347453,138.31846014074497,42.57329101698838,37591.393147296214,0%
2025-03-10 01:11:00-07:00,203.27355742953569,-5.107428240961191,138.3185522502418,42.57344166516561,37591.34981917442,0%
2025-03-10 01:12:00-07:00,203.5240498619638,-5.107576973759239,138.318644591563,42.5735912603769,37591.30635821254,0%
2025-03-10 01:13:00-07:00,203.7745428373202,-5.107729155000952,138.31873716296306,42.57373979967164,37591.26276524779,0%
2025-03-10 01:14:00-07:00,204.02503635923048,-5.10788478188018,138.31882996269948,42.573887280122584,37591.219041119584,0%
2025-03-10 01:15:00-07:00,204.27553043131041,-5.108043851525225,138.31892298902528,42.57403369882256,37591.17518667,0%
2025-03-10 01:16:00-07:00,204.52602505717215,-5.108206360998875,138.3190162401818,42.574179052880574,37591.13120274387,0%
2025-03-10 01:17:00-07:00,204.77652024041268,-5.108372307298551,138.31910971441172,42.57432333942862,37591.08709018827,0%
2025-03-10 01:18:00-07:00,205.02701598461758,-5.108541687356306,138.3192034099576,42.574466555620766,37591.04284985268,0%
2025-03-10 01:19:00-07:00,205.27751229336764,-5.108714498038834,138.31929732504312,42.57460869862409,37590.99848258948,0%
2025-03-10 01:20:00-07:00,205.5280091702276,-5.108890736147622,138.31939145790275,42.57474976563317,37590.95398925309,0%
2025-03-10 01:21:00-07:00,205.7785066187524,-5.109070398418971,138.31948580676365,42.574889753861385,37590.90937070038,0%
2025-03-10 01:22:00-07:00,206.02900464248822,-5.109253481524017,138.3195803698462,42.57502866054109,37590.86462779079,0%
2025-03-10 01:23:00-07:00,206.2795032449735,-5.109439982068812,138.3196751453641,42.57516648292379,37590.81976138622,0%
2025-03-10 01:24:00-07:00,206.53000242972473,-5.109629896594447,138.31977013153934,42.57530321828754,37590.77477235054,0%
2025-03-10 01:25:00-07:00,206.78050220026333,-5.109823221576993,138.31986532657584,42.575438863923864,37590.729661550475,0%
2025-03-10 01:26:00-07:00,207.03100256008545,-5.1100199534276785,138.31996072868083,42.575573417148576,37590.68442985485,0%
2025-03-10 01:27:00-07:00,207.28150351268613,-5.110220088492882,138.32005633605542,42.575706875296895,37590.639078134955,0%
2025-03-10 01:28:00-07:00,207.5320050615426,-5.1104236230542535,138.3201521469016,42.57583923572713,37590.5936072641,0%
2025-03-10 01:29:00-07:00,207.78250721012918,-5.110630553328705,138.3202481594088,42.57597049581407,37590.54801811836,0%
2025-03-10 01:30:00-07:00,208.0330099618967,-5.110840875468606,138.3203443717781,42.57610065296073,37590.5023115754,0%
2025-03-10 01:31:00-07:00,208.2835133203006,-5.111054585561662,138.32044078218465,42.576229704580264,37590.45648851611,0%
2025-03-10 01:32:00-07:00,208.5340172887698,-5.111271679631215,138.32053738882286,42.576357648117906,37590.410549822605,0%
2025-03-10 01:33:00-07:00,208.7845218707316,-5.111492153636108,138.32063418986718,42.576484481031805,37590.36449638002,0%
2025-03-10 01:34:00-07:00,209.03502706960452,-5.111716003470873,138.32073118348964,42.57661020080187,37590.31832907551,0%
2025-03-10 01:35:00-07:00,209.28553288878058,-5.111943224965838,138.32082836787603,42.576734804937416,37590.27204879792,0%
2025-03-10 01:36:00-07:00,209.53603933165314,-5.112173813887062,138.32092574118977,42.5768582909597,37590.225656438866,0%
2025-03-10 01:37:00-07:00,209.78654640160178,-5.112407765936565,138.32102330159745,42.57698065641445,37590.17915289191,0%
2025-03-10 01:38:00-07:00,210.03705410199677,-5.112645076752283,138.32112104725866,42.57710189886682,37590.13253905294,0%
2025-03-10 01:39:00-07:00,210.28756243618633,-5.112885741908261,138.3212189763408,42.57722201590884,37590.08581581947,0%
2025-03-10 01:40:00-07:00,210.5380714075207,-5.113129756914616,138.32131708699436,42.5773410051471,37590.038984091734,0%
2025-03-10 01:41:00-07:00,210.7885810193298,-5.1133771172177065,138.32141537737309,42.57745886421289,37589.992044771716,0%
2025-03-10 01:42:00-07:00,211.03909127493364,-5.11362781820018,138.3215138456249,42.57757559075766,37589.944998763654,0%
2025-03-10 01:43:00-07:00,211.28960217763841,-5.1138818551810825,138.32161248990002,42.57769118245706,37589.897846973574,0%
2025-03-10 01:44:00-07:00,211.54011373074502,-5.1141392234159,138.32171130833632,42.57780563700377,37589.850590309885,0%
2025-03-10 01:45:00-07:00,211.7906259375301,-5.114399918096706,138.32181029908227,42.57791895211879,37589.80322968262,0%
2025-03-10 01:46:00-07:00,212.04113880127346,-5.114663934352177,138.3219094602662,42.57803112553643,37589.75576600426,0%
2025-03-10 01:47:00-07:00,212.29165232523155,-5.1149312672477425,138.32200879002832,42.57814215502006,37589.70820018892,0%
2025-03-10 01:48:00-07:00,212.54216651265153,-5.115201911785638,138.32210828649445,42.578252038349085,37589.66053315293,0%
2025-03-10 01:49:00-07:00,212.7926813667714,-5.115475862905018,138.32220794779235,42.57836077332717,37589.61276581453,0%
2025-03-10 01:50:00-07:00,213.04319689081282,-5.115753115482061,138.3223077720484,42.57846835778057,37589.564899093726,0%
2025-03-10 01:51:00-07:00,213.2937130879841,-5.11603366433003,138.32240775738697,42.57857478955788,37589.51693391249,0%
2025-03-10 01:52:00-07:00,213.54422996149037,-5.11631750419935,138.32250790191915,42.57868006652439,37589.46887119502,0%
2025-03-10 01:53:00-07:00,213.7947475145096,-5.116604629777792,138.32260820376985,42.57878418657565,37589.42071186687,0%
2025-03-10 01:54:00-07:00,214.04526575022598,-5.116895035690464,138.32270866104287,42.57888714762015,37589.37245685601,0%
2025-03-10 01:55:00-07:00,214.29578467178982,-5.117188716500007,138.32280927185408,42.57898894759574,37589.32410709178,0%
2025-03-10 01:56:00-07:00,214.546304282353,-5.117485666706608,138.3229100343099,42.57908958445892,37589.27566350561,0%
2025-03-10 01:57:00-07:00,214.79682458504954,-5.11778588074818,138.323010946516,42.5791890561895,37589.22712703061,0%
2025-03-10 01:58:00-07:00,215.04734558300353,-5.118089353000393,138.32311200657284,42.57928736078799,37589.17849860184,0%
2025-03-10 01:59:00-07:00,215.29786727932532,-5.11839607777682,138.32321321257908,42.57938449627756,37589.12977915605,0%
2025-03-10 02:00:00-07:00,215.54838967711447,-5.118706049329043,138.32331456262975,42.57948046070322,37589.08096963185,0%
2025-03-10 02:01:00-07:00,215.7989127794523,-5.11901926184672,138.3234160548188,42.579575252132834,37589.03207096946,0%
2025-03-10 02:02:00-07:00,216.04943658940576,-5.11933570945779,138.323517687245,42.57966886866025,37588.98308411061,0%
2025-03-10 02:03:00-07:00,216.29996111004004,-5.119655386228394,138.32361945798607,42.57976130839261,37588.93400999936,0%
2025-03-10 02:04:00-07:00,216.55048634439567,-5.1199782861632075,138.32372136513487,42.579852569467995,37588.88484958087,0%
2025-03-10 02:05:00-07:00,216.80101229550607,-5.120304403205387,138.32382340677302,42.57994265004263,37588.83560380226,0%
2025-03-10 02:06:00-07:00,217.0515389663914,-5.120633731236773,138.3239255809817,42.58003154829611,37588.7862736122,0%
2025-03-10 02:07:00-07:00,217.30206636005713,-5.120966264077917,138.32402788583644,42.580119262429065,37588.736859961165,0%
2025-03-10 02:08:00-07:00,217.55259447948944,-5.121301995488336,138.32413031942184,42.58020579067002,37588.687363800775,0%
2025-03-10 02:09:00-07:00,217.80312332767403,-5.1216409191664525,138.32423287980538,42.580291131263,37588.63778608485,0%
2025-03-10 02:10:00-07:00,218.05365290757354,-5.121983028749812,138.32433556505936,42.58037528247795,37588.58812776847,0%
2025-03-10 02:11:00-07:00,218.30418322214004,-5.122328317815249,138.3244383732553,42.58045824260833,37588.53838980824,0%
2025-03-10 02:12:00-07:00,218.55471427431033,-5.122676779878876,138.32454130245983,42.580540009968736,37588.4885731624,0%
2025-03-10 02:13:00-07:00,218.80524606701354,-5.123028408396293,138.3246443507341,42.580620582894966,37588.43867879082,0%
