Time (PDT),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-03-09 21:32:00-07:00,148.8130748151715,-5.170878050412835,137.88111578085707,42.29069609272302,37591.625425324804,0%
2025-03-09 21:33:00-07:00,149.06381181189738,-5.170315855509627,137.8808232963683,42.2908348371575,37591.702670173334,0%
2025-03-09 21:34:00-07:00,149.314547518081,-5.169755885848112,137.88053206415384,42.29097428781126,37591.77993197723,0%
2025-03-09 21:35:00-07:00,149.56528193391176,-5.169198152090988,137.88024208847025,42.29111444139231,37591.857209302965,0%
2025-03-09 21:36:00-07:00,149.81601505961626,-5.168642664858103,137.87995337353183,42.29125529458563,37591.93450071743,0%
2025-03-09 21:37:00-07:00,150.06674689543203,-5.168089434726485,137.87966592354906,42.29139684407261,37592.011804786525,0%
2025-03-09 21:38:00-07:00,150.31747744163567,-5.1675384722299045,137.87937974268672,42.291539086510056,37592.08912007679,0%
2025-03-09 21:39:00-07:00,150.56820669851476,-5.16698978785889,137.87909483510404,42.29168201855042,37592.16644515389,0%
2025-03-09 21:40:00-07:00,150.81893466639227,-5.166443392060373,137.8788112049242,42.291825636826715,37592.24377858378,0%
2025-03-09 21:41:00-07:00,151.0696613455984,-5.1658992952376375,137.8785288562602,42.291969937965554,37592.32111893181,0%
2025-03-09 21:42:00-07:00,151.32038673651073,-5.165357507749911,137.87824779317958,42.29211491856953,37592.39846476401,0%
2025-03-09 21:43:00-07:00,151.57111083951216,-5.164818039912396,137.87796801974483,42.29226057523757,37592.47581464561,0%
2025-03-09 21:44:00-07:00,151.8218336550121,-5.164280901996,137.87768953999168,42.29240690455415,37592.5531671419,0%
2025-03-09 21:45:00-07:00,152.07255518345642,-5.163746104227015,137.8774123579204,42.29255390308512,37592.6305208186,0%
2025-03-09 21:46:00-07:00,152.32327542529922,-5.163213656787106,137.87713647751562,42.292701567387645,37592.7078742411,0%
2025-03-09 21:47:00-07:00,152.57399438103022,-5.162683569812995,137.8768619027334,42.29284989400394,37592.78522597501,0%
2025-03-09 21:48:00-07:00,152.8247120511559,-5.162155853396364,137.87658863750994,42.292998879465586,37592.86257458578,0%
2025-03-09 21:49:00-07:00,153.0754284362138,-5.161630517583561,137.8763166857497,42.29314852028782,37592.93991863926,0%
2025-03-09 21:50:00-07:00,153.32614353675245,-5.161107572375555,137.87604605134607,42.29329881297988,37593.01725670093,0%
